student_id,topic_id,mean hesitation,std hesitation,mean conf,std conf,grammar point,words,unique word (%),% rare words,have transcript,IELTS speaking score,,
83,7,0.1842347151,0.5082181781,0.9243793725,0.1583217282,53,109,71,13,,50,,
83,18,0.186960325,0.4507958125,0.3127856438,0.3127856438,85,48,73,14,,50,,
83,2,0.1923314541,0.3585755736,0.9001282652,0.1719746614,,,,,,50,too short,at least 30 words
83,16,0.1410350255,0.3127856438,0.9373628857,0.1386083188,,,,,,50,too short,
83,7,,,,,44,111,69,13,,50,,
83,18,0.186960325,0.4507958125,0.9205683388,0.1691214649,85,48,73,14,,50,,
84,18,0.1192593375,0.2693995768,0.9484907516,0.131192885,54,155,55,24,,50,,
84,13,0.1084285158,0.200995098,0.9562779792,0.122098207,60,99,60,24,,50,,
84,21,0.1385609516,0.2581412457,0.9360987937,0.142092106,84,77,78,20,,50,,
84,2,0.1062794919,0.2392442172,0.953151328,0.1319917378,75,150,61,19,,50,,
84,2,0.07,0.1460791923,0.94403436,0.1385366194,,,,,,50,too short,
84,2,0.1041061951,0.2050289189,0.9732020714,0.09223270023,72,41,73,10,,50,,
85,1,0.2357216438,0.4873156354,0.9295538299,0.1552761585,75,120,60,11,,50,,
85,20,0.2168169722,0.4016419018,0.8733861081,0.196450954,89,47,83,10,,50,,
85,2,0.2199721224,0.4068659179,0.9198917868,0.1571248108,90,147,61,16,,50,,
86,14,0.10672025,0.1996318888,0.9779062432,0.06945847491,,,,,,55,too short,
86,11,0.1110392308,0.208061041,0.97475535,0.07685511056,87,35,91,9,,55,,
86,14,0.1161372162,0.2134569644,0.9470423421,0.1340100649,76,44,80,14,,55,,
86,16,0.10227216,0.2157258086,0.9349424868,0.1626957674,,,,,,55,too short,
86,7,0.0982565,0.1843883797,0.9075482973,0.187849442,,,,,,55,too short,
86,7,0.0833195,0.1569192643,0.9693641707,0.1039806125,,,,,,55,too short,
86,10,0.9762847647,0.2197454623,0.9762847647,0.06676885599,57,41,78,19,,55,,
86,14,0.106729,0.1996285432,0.978319,0.0670619298,98,30,80,21,,55,,
86,12,0.1004901379,0.1937028328,0.9587104091,0.310581123,93,79,67,6,,55,,
86,13,0.08657331707,0.1676500996,0.9758144048,0.07132254286,53,37,89,21,,55,,
86,13,0.08400975,0.1425512217,0.9385531081,0.1276661931,52,31,97,27,,55,,
86,12,0.1363746,0.2290166391,0.8811591463,0.1981590786,,,,,,55,too short,
86,13,0.07805725,0.1595013631,0.9512044634,0.1304430579,99,54,80,26,,55,,
86,13,0.08837744048,0.194211969,0.9351397294,0.1535284318,,,,,,55,too short,
86,13,0.1163928382,0.1954668471,0.9382606957,0.1617632004,78,39,79,26,,55,,
86,12,0.0676056338,0.1388469331,0.9665403472,0.1107092249,69,89,69,20,,55,,
86,12,0.0992619537,0.1775720434,0.9360893945,0.1396375346,88,52,81,24,,55,,
86,12,0.1073445366,0.1807334575,0.9213237857,0.1620195752,65,62,81,14,,55,,
86,6,0.1722101848,0.2921959109,0.9639977957,0.114237732,80,87,71,21,,55,,
86,17,,,,,81,167,63,16,,55,,
86,2,0.1947737353,0.2785102335,0.9578434783,0.1288227438,67,77,78,25,,55,,
87,14,1.362429343,1.487268994,0.6628088987,0.242019579,95,39,100,5,,55,,
87,20,0.730564954,1.166800139,0.730564954,0.234995631,94,52,81,10,,55,,
87,1,1.268328731,1.434382765,0.7244738223,0.2334655105,,3,,,,55,too short,
87,3,0.7473282528,0.9410862451,0.7708252698,0.2298446313,83,364,43,15,,55,,
87,13,0.8263546891,1.017117629,0.7291000772,0.2315144063,99,591,40,19,,55,,
87,2,0.739885933,0.9963827131,0.763022371,0.2252141723,100,587,38,13,,55,,
87,17,0.669776421,0.8734965424,0.7868937647,0.2246166543,100,642,40,16,,55,,
87,7,0.7903887723,1.105451601,0.7766437668,0.224990492,96,664,38,15,,55,,
88,20,0.1624984898,0.3540949096,0.9478762097,0.1283760656,98,754,43,23,,55,,
88,1,0.1676492693,0.310581123,0.9627789543,0.1085947012,98,597,36,17,,55,,
88,3,0.1741371641,0.3629275382,0.945799977,0.1350463213,100,635,40,24,,55,,
